timestamp,latitude,longitude,altitude,speed,acceleration,bearing
2023-11-29 04:06:42,12.89910593,77.464492037,685.4945,13.808016496990783,-1.0758972386579924,237.18875841126555
2023-11-29 04:06:43,12.89902436,77.464377415,684.8714,15.382380367220925,1.5743638702301421,233.86807023576125
2023-11-29 04:06:44,12.898947864,77.464264037,684.7022,14.94553639655708,-0.43684397066384584,235.3103672120942
2023-11-29 04:06:45,12.898864734,77.464139367,682.9223,16.37198762013749,1.4264512235804094,235.62545213196393
2023-11-29 04:06:46,12.898779522,77.464015058,681.8934,16.47178502923061,0.09979740909312085,234.88394481900536
2023-11-29 04:06:47,12.898695346,77.463884613,681.3595,16.956251917684725,0.484466888454115,236.49530752992047
2023-11-29 04:06:48,12.898609592,77.463766503,681.8728,15.96280078002295,-0.9934511376617738,233.3195356059319
2023-11-29 04:06:49,12.898530386,77.463634807,681.7144,16.772820459023524,0.8100196790005736,238.32545133015003
2023-11-29 04:06:50,12.898440244,77.463511672,681.7681,16.69120227062552,-0.08161818839800361,233.0931554321877
2023-11-29 04:06:51,12.898349191,77.463381179,682.4643,17.394303241034944,0.7031009704094231,234.40403237261762
2023-11-29 04:06:52,12.898260126,77.463246981,683.1433,17.597040535575115,0.20273729454017086,235.7505072992244
2023-11-29 04:06:53,12.898170983,77.463115187,682.3614,17.387222491999395,-0.20981804357571932,235.24364239405423
2023-11-29 04:06:54,12.898074313,77.462978461,682.8944,18.307573252193308,0.9203507601939123,234.0452938044479
2023-11-29 04:06:55,12.897980933,77.462843527,683.9505,17.936477302337515,-0.37109594985579264,234.6269775981158
2023-11-29 04:06:56,12.897889061,77.462709235,683.6874,17.782932163788153,-0.15354513854936158,234.93772965994765
2023-11-29 04:06:57,12.897795196,77.462577329,683.9941,17.701635052130037,-0.0812971116581167,233.869672367307
2023-11-29 04:06:58,12.897694802,77.462436359,681.9073,18.92319981418742,1.2215647620573833,233.84819902794516
2023-11-29 04:06:59,12.897619424,77.462298347,683.2747,17.14716779206293,-1.7760320221244896,240.73783324191172
2023-11-29 04:07:00,12.897549801,77.462184783,689.3919,14.541302543576824,-2.605865248486106,237.83255864470493
2023-11-29 04:07:01,12.897432921,77.462035943,685.1041,20.71647302978905,6.175170486212226,231.14519477409564
2023-11-29 04:07:02,12.897349089,77.461897123,685.9899,17.700157916013165,-3.0163151137758852,238.22099053095627
2023-11-29 04:07:03,12.897234113,77.46177091,684.2925,18.724242611200104,1.0240846951869393,226.93787072586684
2023-11-29 04:07:04,12.89713615,77.461662449,686.7017,16.026917482252305,-2.6973251289477993,227.18227974263937
2023-11-29 04:07:05,12.897030546,77.461535104,686.1162,18.12206471870383,2.095147236451524,229.61098103998594
2023-11-29 04:07:06,12.896924301,77.461420587,687.4727,17.135866044036632,-0.9861986746671967,226.41535429990242
2023-11-29 04:07:07,12.896794742,77.461298928,684.6351,19.530183107957665,2.394317063921033,222.4689902791905
2023-11-29 04:07:08,12.896678399,77.461184881,684.3039,17.89321984331045,-1.636963264647214,223.69750400068352
